"job_id","job_title","job_country","job_schedule_type","salary_year_avg","company_name","skills"
401243,"Remote Data Analyst","United States","Full-time","86500.0","Get It Recruit - Information Technology","sql"
1704094,"Remote Data Analyst","United States","Full-time","86500.0","Get It Recruit - Information Technology","sql"
456839,"Telecom Data Analyst","United States","Full-time","86000.0","Get It Recruit - Information Technology","python"
456839,"Telecom Data Analyst","United States","Full-time","86000.0","Get It Recruit - Information Technology","sheets"
456839,"Telecom Data Analyst","United States","Full-time","86000.0","Get It Recruit - Information Technology","sql"
196337,"Predictive Data Analyst","Sudan","Full-time","85000.0","SimioCloud","alteryx"
52176,"PPM Data Analyst - Remote","United States","Full-time","85000.0","Mint Mobile","atlassian"
384007,"Data Analyst","United States","Full-time","85000.0","Motion Recruitment","azure"
52176,"PPM Data Analyst - Remote","United States","Full-time","85000.0","Mint Mobile","chef"
710614,"Data Mining Analyst","United States","Full-time","85000.0","Envision Staffing Solutions","excel"
1458260,"Data Analyst / Software Developer","United States","Full-time","85000.0","QSE7, LLC","excel"
27772,"Data Analyst - DHS Clearance Required Remote / Telecommute Jobs","United States","Full-time","85000.0","Redwood Strategy Group","excel"
52176,"PPM Data Analyst - Remote","United States","Full-time","85000.0","Mint Mobile","excel"
314738,"Growth Data Analyst","United States","Full-time","85000.0","Get It Recruit - Information Technology","excel"
382000,"Healthcare Data Analyst","Sudan","Full-time","85000.0","Prime Team Partners","excel"
1085007,"Data Analyst (Remote)","United States","Full-time","85000.0","DeepIntent","excel"
1782272,"Marketing Data Analyst","United States","Full-time","85000.0","FocusKPI Inc.","excel"
52176,"PPM Data Analyst - Remote","United States","Full-time","85000.0","Mint Mobile","express"
52176,"PPM Data Analyst - Remote","United States","Full-time","85000.0","Mint Mobile","flow"
384007,"Data Analyst","United States","Full-time","85000.0","Motion Recruitment","jira"
314738,"Growth Data Analyst","United States","Full-time","85000.0","Get It Recruit - Information Technology","looker"
384007,"Data Analyst","United States","Full-time","85000.0","Motion Recruitment","mysql"
27772,"Data Analyst - DHS Clearance Required Remote / Telecommute Jobs","United States","Full-time","85000.0","Redwood Strategy Group","outlook"
1458260,"Data Analyst / Software Developer","United States","Full-time","85000.0","QSE7, LLC","power bi"
1085007,"Data Analyst (Remote)","United States","Full-time","85000.0","DeepIntent","powerpoint"
1782272,"Marketing Data Analyst","United States","Full-time","85000.0","FocusKPI Inc.","powerpoint"
382000,"Healthcare Data Analyst","Sudan","Full-time","85000.0","Prime Team Partners","powerpoint"
710614,"Data Mining Analyst","United States","Full-time","85000.0","Envision Staffing Solutions","powerpoint"
27772,"Data Analyst - DHS Clearance Required Remote / Telecommute Jobs","United States","Full-time","85000.0","Redwood Strategy Group","powerpoint"
196337,"Predictive Data Analyst","Sudan","Full-time","85000.0","SimioCloud","python"
1782272,"Marketing Data Analyst","United States","Full-time","85000.0","FocusKPI Inc.","python"
27772,"Data Analyst - DHS Clearance Required Remote / Telecommute Jobs","United States","Full-time","85000.0","Redwood Strategy Group","python"
1112585,"Senior Data Analyst II","United States","Full-time","85000.0","BlueLabs Analytics, Inc.","python"
1085007,"Data Analyst (Remote)","United States","Full-time","85000.0","DeepIntent","r"
1640252,"Data Analyst","United States","Full-time","85000.0","Get It Recruit - Information Technology","r"
27772,"Data Analyst - DHS Clearance Required Remote / Telecommute Jobs","United States","Full-time","85000.0","Redwood Strategy Group","r"
